char,jyutping
政治詞彙,zing3 zi6 ci4 wui6
五大訴求,ng5 daai6 sou3 kau4
光復香港,gwong1 fuk6 hoeng1 gong2
反修例運動,faan2 sau1 lai6 wan6 dung6
反送中運動,faan2 sung3 zung1 wan6 dung6
和勇不分,wo4 jung5 bat1 fan1
哭撚咗成晚,huk1 nan2 zo2 seng4 maan5
大渣哥,daai6 zaa1 go1
尖沙咀肥媽,zim1 saa1 zeoi2 fei4 maa1
幫港出聲,bong1 gong2 ceot1 seng1
忠義民團,zung1 ji6 man4 tyun4
愛港力量,oi3 gong2 lik6 loeng6
時代垃圾,si4 doi6 laap6 saap3
時代革命,si4 doi6 gaak3 ming6
時聞香港,si4 man4 hoeng1 gong2
晴天林,cing4 tin1 lam4
氣象巴打,hei3 zoeng6 baa1 daa2
港人講地,gong2 jan4 gong2 dei6
港大纔女,gong2 daai6 coi4 neoi5
生仔救國,saang1 zai2 gau3 gwok3
生仔救港,saang1 zai2 gau3 gong2
缺一不可,kyut3 jat1 bat1 ho2
老豆搵仔,lou5 dau6 wan2 zai2
華記正能量,waa4 gei3 zing3 nang4 loeng6
見字飲水,gin3 zi6 jam2 seoi2
親子王國,can1 zi2 wong4 gwok3
警察城市,ging2 caat3 sing4 si5
連登,lin4 dang1
限聚令,haan6 cou5 ling1
雜物堵路,zaap6 mat6 dou2 lou6
香港曱甴,hoeng1 gong2 gaat6 zaat2
高登音樂臺,gou1 dang1 jam1 ngok6 toi4
鬥黃,dau3 wong4
黃店,wong4 dim3
點都唔割,dim2 dou1 m4 got3
龍門冰室,lung4 mun4 bing1 sat1
國藥,gwok3 joek6
復必泰,fau6 bit1 taai3
新冠病毒,san1 gun1 beng6 duk6
武漢肺炎,mou5 hon3 fai3 jim4
武肺,mou5 fai3
深喉唾液,sam1 hau4 to3 jik6
科興,fo1 hing1
肛拭子,gong1 sik1 zi2
獅子山精神,si1 zi2 saan1 zing1 san4
膠街架,gaau1 gaai1 gaa3
深喉,sam1 hau4
都得,dou1 dak1
白滑長腿,baak6 waat6 zoeng2 teoi2
孽瘤,jip6 lau4
行政會議,hang4 zing3 wui6 ji5
問責局長,man6 zaak3 guk6 zoeng2
高調支持,gou1 diu6 zi1 ci4
限奶令,haan6 naai5 ling1
柒婆,cat1 po4
區選,keoi1 syun2
滋事分子,zi1 si6 fan1 zi2
尋釁滋事,cam4 jan6 zi1 si6
特權法,dak6 kyun4 faat3
譚德賽,taam4 dak1 coi3
露烏,lou6 wu1
政治分贓,zing3 zi6 fan1 zong1
民族界線,man4 zuk6 gaai3 sin3
涼薄啲講句,loeng4 bok6 di1 gong2 geoi3
仆街冚家剷,puk1 gaai1 ham6 gaa1 caan2
大外宣,daai6 ngoi6 syun1
光時旗,gwong1 si4 kei4
集會現場,zaap6 wui2 jin6 coeng4
守護香港,sau2 wu6 hoeng1 gong2
流亡當地,lau4 mong4 dong1 dei6
在外港人,zoi6 ngoi6 gong2 jan4
唯一出路,wai4 jat1 ceot1 lou6
黨安法,dong2 on1 faat3
香港獨立,hoeng1 gong2 duk6 laap6
唯一出路,wai4 jat1 ceot1 lou6
康復香港,hong1 fuk6 hoeng1 gong2
時代抗疫,si4 doi6 kong3 jik6
六八九,luk6 baat3 gau2
柒婆,cat1 po4
校園電視,haau6 jyun2 din6 si6
黃之鋒,wong4 zi1 fung1
周庭,zau1 ting4
羅冠聰,lo4 gun1 cung1
臺灣獨立,toi4 waan1 duk6 laap6
臺獨,toi4 duk6
民進黨,man4 zeon3 dong2
基進黨,gei1 zeon3 dong2
蔡英文,coi3 jing1 man4
揩中,haai1 zung1
麻唔麻煩,maa4 m4 maa4 faan4
香唔香,hoeng1 m4 hoeng1
維尼,wai4 nei4
習大大,zaap6 daai6 daai6
特別意思,dak6 bit6 ji3 si1
大屌,daai6 diu2
混打,wan6 daa2
支聯會,zi1 lyun4 wui2
梁天琦,loeng4 tin1 kei4
天滅中共,tin1 mit6 zung1 gung6
熱狗,jit6 gau2
熱血公民,jit6 hyut3 gung1 man4
國師,gwok3 si1
陳雲,can4 wan4
耶穌龍門陣,je4 sou1 lung4 mun4 zan6
土地大辯論,tou2 dei6 daai6 bin6 leon6
仲量行,zung6 loeng4 hang4
梁繼平,loeng4 gai3 ping4
香港民族論,hoeng1 gong2 man4 zuk6 leon4
民族自決,man4 zuk6 zi6 kyut3
學苑,hok6 jyun2
離地中產,lei4 dei6 zung1 caan2
城邦論,sing4 bong1 leon4
中港區間,zung1 gong2 keoi1 gaan3
自由花,zi6 jau4 faa1
光復上水,gwong1 fuk6 soeng6 seoi2
光復屯公,gwong1 fuk6 tyun4 gung1
娜娜,naa4 naa4
本土派,bun2 tou2 paai3
大中華膠,daai6 zung1 waa4 gaau1
民族自決,man4 zuk6 zi6 kyut3
人大釋法,jan4 daai6 sik1 faat3
三權分立,saam1 kyun4 fan1 laap6
小圈子選舉,siu2 hyun1 zi2 syun2 geoi2
廿三條,jaa6 saam1 tiu4
三權分立,saam1 kyun4 fan1 laap6
中港區間,zung1 gong2 keoi1 gaan3
五大訴求,ng5 daai6 sou3 kau4
人大釋法,jan4 daai6 sik1 faat3
仲量行,zung6 loeng4 hang4
光復上水,gwong1 fuk6 soeng6 seoi2
光復屯公,gwong1 fuk6 tyun4 gung1
光復香港,gwong1 fuk6 hoeng1 gong2
